year,lake,break_jday,break_date,clear_jday,clear_date,form_jday,form_date,Elevation
1968,Albion,NaN,NaN,NaN,NaN,NaN,NaN,3345
1969,Albion,NaN,NaN,NaN,NaN,NaN,NaN,3345
1970,Albion,NaN,NaN,NaN,NaN,NaN,NaN,3345
1973,Albion,NaN,NaN,NaN,NaN,NaN,NaN,3345
1974,Albion,NaN,NaN,NaN,NaN,NaN,NaN,3345
1981,Albion,NaN,NaN,154,6/3/81,NaN,NaN,3345
1982,Albion,NaN,NaN,166,6/15/82,283,10/10/82,3345
1983,Albion,NaN,NaN,173,6/22/83,293,10/20/83,3345
1984,Albion,152,5/31/84,173,6/21/84,NaN,NaN,3345
1985,Albion,129,5/9/85,154,6/3/85,NaN,NaN,3345
1986,Albion,154,6/3/86,168,6/17/86,307,11/3/86,3345
1987,Albion,120,4/30/87,132,5/12/87,NaN,NaN,3345
1988,Albion,NaN,NaN,151,5/30/88,NaN,NaN,3345
1989,Albion,137,5/17/89,154,6/3/89,306,11/2/89,3345
1990,Albion,151,5/31/90,167,6/16/90,NaN,NaN,3345
1991,Albion,141,5/21/91,147,5/27/91,NaN,NaN,3345
1992,Albion,122,5/1/92,144,5/23/92,308,11/3/92,3345
1993,Albion,140,5/20/93,168,6/17/93,301,10/28/93,3345
1994,Albion,137,5/17/94,151,5/31/94,302,10/29/94,3345
1995,Albion,125,5/5/95,183,7/2/95,303,10/30/95,3345
1996,Albion,142,5/21/96,153,6/1/96,310,11/5/96,3345
1997,Albion,140,5/20/97,165,6/14/97,308,11/4/97,3345
1998,Albion,153,6/2/98,168,6/17/98,298,10/25/98,3345
1999,Albion,152,6/1/99,173,6/22/99,313,11/9/99,3345
2000,Albion,123,5/2/00,145,5/24/00,309,11/4/00,3345
2001,Albion,123,5/3/01,139,5/19/01,298,10/25/01,3345
2002,Albion,105,4/15/02,139,5/19/02,296,10/23/02,3345
2003,Albion,146,5/26/03,158,6/7/03,NaN,NaN,3345
2004,Albion,144,5/23/04,152,5/31/04,311,11/6/04,3345
2005,Albion,139,5/19/05,149,5/29/05,312,11/8/05,3345
2006,Albion,138,5/18/06,158,6/7/06,295,10/22/06,3345
2007,Albion,135,5/15/07,160,6/9/07,313,11/9/07,3345
2008,Albion,141,5/20/08,166,6/14/08,313,11/8/08,3345
2009,Albion,141,5/21/09,166,6/15/09,307,11/3/09,3345
2010,Albion,147,5/27/10,163,6/12/10,NaN,NaN,3345
2011,Albion,160,6/9/10,178,6/27/11,NaN,NaN,3345
2012,Albion,102,4/11/12,126,5/5/12,301,10/27/12,3345
2013,Albion,134,5/14/13,162,6/11/13,295,10/22/13,3345
2014,Albion,119,4/29/14,164,6/13/14,310,11/6/14,3345
2015,Albion,132,5/12/15,172,6/21/15,310,11/6/15,3345
2016,Albion,NaN,NaN,157,6/5/16,NaN,NaN,3345
2017,Albion,NaN,NaN,169,6/18/17,300,10/27/17,3345
1968,Green1,NaN,NaN,NaN,NaN,NaN,NaN,3425
1969,Green1,NaN,NaN,NaN,NaN,NaN,NaN,3425
1970,Green1,NaN,NaN,NaN,NaN,NaN,NaN,3425
1973,Green1,NaN,NaN,NaN,NaN,NaN,NaN,3425
1974,Green1,NaN,NaN,NaN,NaN,NaN,NaN,3425
1981,Green1,NaN,NaN,NaN,NaN,NaN,NaN,3425
1982,Green1,NaN,NaN,175,6/24/82,283,10/10/82,3425
1983,Green1,NaN,NaN,174,6/23/83,286,10/13/83,3425
1984,Green1,NaN,NaN,168,6/16/84,NaN,NaN,3425
