LTER_site,local_site,year,date_collected,depth,tows,combined_tow,net_um,water_sam_QA,pull number,percent sample examined ,taxon_name,num_of_taxon,taxon_dens,avg_taxon_length ,num_indiv_meas,male,gravid,melanized,infection,tot_counted ,tot_density
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Bosminidae sp.,1,0.006551271,NaN,1,0,0,1,NaN,327,2.142265661
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,327,2.142265661
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Daphnia pulicaria,121,0.792703807,2.6036,33,0,0,33,NaN,327,2.142265661
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Hesperodiaptomus shoshone,144,0.943383043,1.28,16,4,0,0,NaN,327,2.142265661
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Neonate,3,0.019653813,NaN,NaN,NaN,NaN,NaN,NaN,327,2.142265661
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Nauplii,58,0.379973726,NaN,NaN,NaN,NaN,NaN,NaN,327,2.142265661
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Total cladoceran,122,0.799255078,2.6036,34,0,0,34,NaN,327,2.142265661
NWT,GL4,2015,3/10/15,11.5,4,46,80,152.6421331,5,0.25,Total copepod,144,0.943383043,1.28,16,4,0,0,NaN,327,2.142265661
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,88,0.530390911
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,88,0.530390911
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Daphnia pulicaria,28,0.168760744,2.4471,28,0,0,26,NaN,88,0.530390911
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Hesperodiaptomus shoshone,30,0.180815083,1.6618,22,10,3,0,NaN,88,0.530390911
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Neonate,0,0,NaN,NaN,NaN,NaN,NaN,NaN,88,0.530390911
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Nauplii,30,0.180815083,NaN,NaN,NaN,NaN,NaN,NaN,88,0.530390911
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Total cladoceran,28,0.168760744,2.4471,28,0,0,26,NaN,88,0.530390911
NWT,GL4,2015,12/3/15,12.5,4,50,80,165.915362,5,0.25,Total copepod,30,0.180815083,1.6618,22,10,3,0,NaN,88,0.530390911
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Daphnia pulicaria,112,0.900057303,2.4637,49,0,0,34,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Diacyclops thomasi,1,0.008036226,NaN,NaN,NaN,NaN,NaN,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Hesperodiaptomus shoshone,5,0.04018113,NaN,1,0,0,0,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Neonate,0,0,NaN,NaN,NaN,NaN,NaN,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Nauplii,68,0.546463363,NaN,NaN,NaN,NaN,NaN,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Total cladoceran,112,0.900057303,2.4637,49,0,0,34,NaN,186,1.494738022
NWT,GL4,2016,1/22/16,12.5,3,37.5,80,124.4365215,5,0.25,Total copepod,6,0.048217356,NaN,1,0,0,0,NaN,186,1.494738022
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Daphnia pulicaria,0,0,NaN,NaN,NaN,NaN,NaN,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Diacyclops thomasi,0,0,NaN,NaN,NaN,NaN,NaN,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Hesperodiaptomus shoshone,87,0.524363742,1.6803,61,0,0,0,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Neonate,0,0,NaN,NaN,NaN,NaN,NaN,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Nauplii,10,0.060271694,NaN,NaN,NaN,NaN,NaN,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Total cladoceran,0,0,NaN,0,0,0,0,NaN,97,0.584635436
NWT,GL4,2016,3/29/16,12.5,2,25,80,165.915362,10,0.5,Total copepod,87,0.524363742,1.6803,61,0,0,0,NaN,97,0.584635436
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Daphnia pulicaria,1,0.008334029,NaN,1,0,1,0,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Diacyclops thomasi,0,0,NaN,NaN,NaN,NaN,NaN,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Hesperodiaptomus shoshone,53,0.441703513,1.7626,53,14,1,0,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Neonate,1,0.008334029,NaN,NaN,NaN,NaN,NaN,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Nauplii,7,0.0583382,NaN,NaN,NaN,NaN,NaN,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Total cladoceran,1,0.008334029,NaN,1,0,1,0,NaN,62,0.51670977
NWT,GL4,2016,4/21/16,11.3,2,22.6,80,119.9899898,8,0.4,Total copepod,53,0.441703513,1.7626,53,14,1,0,NaN,62,0.51670977
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Chydoridae sp.,1,0.002414731,NaN,NaN,NaN,NaN,NaN,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Daphnia pulicaria,2,0.004829463,NaN,2,0,0,1,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Diacyclops thomasi,0,0,NaN,NaN,NaN,NaN,NaN,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Hesperodiaptomus shoshone,66,0.159372269,1.0631,51,6,0,0,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Neonate,0,0,NaN,NaN,NaN,NaN,NaN,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Nauplii,567,1.369152674,NaN,NaN,NaN,NaN,NaN,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Total cladoceran,3,0.007244194,NaN,2,0,0,1,NaN,636,1.535769137
NWT,GL4,2017,4/17/17,10.4,3,31.2,80,414.1247436,20,1,Total copepod,66,0.159372269,1.0631,51,6,0,0,NaN,636,1.535769137
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Daphnia pulicaria,2,0.013698112,NaN,2,0,0,2,0,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Diacyclops thomasi,0,0,NaN,NaN,NaN,NaN,NaN,NaN,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Hesperodiaptomus shoshone,51,0.349301865,1.7882,51,29,0,0,23,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Neonate,0,0,NaN,NaN,NaN,NaN,NaN,NaN,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Nauplii,4,0.027396225,0.32,3,NaN,NaN,NaN,1,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Rotifer,1,0.006849056,NaN,NaN,NaN,NaN,NaN,NaN,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Total cladoceran,2,0.013698112,NaN,2,0,0,2,0,58,0.397245259
NWT,GL4,2018,1/18/18,11,1,11,80,146.0055186,20,1,Total copepod,51,0.349301865,1.7882,51,29,0,0,23,58,0.397245259
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,58,0.198622629
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Daphnia pulicaria,24,0.082188674,2.8192,25,0,13,23,0,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Diacyclops thomasi,0,0,NaN,NaN,NaN,NaN,NaN,NaN,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Hesperodiaptomus shoshone,287,0.982839563,1.892,45,24,0,0,42,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Neonate,0,0,NaN,NaN,NaN,NaN,NaN,NaN,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Nauplii,28,0.095886787,0.3767,12,NaN,NaN,NaN,0,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Rotifer,1,0.003424528,NaN,NaN,NaN,NaN,NaN,NaN,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Total cladoceran,24,0.082188674,2.8192,25,0,13,23,0,340,1.164339551
NWT,GL4,2018,2/27/18,11,2,22,80,292.0110372,20,1,Total copepod,287,0.982839563,1.892,45,24,0,0,42,340,1.164339551
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Bosminidae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Chydoridae sp.,0,0,NaN,NaN,NaN,NaN,NaN,NaN,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Daphnia pulicaria,4,0.015067924,2.2875,8,0,5,5,0,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Diacyclops thomasi,9,0.033902828,0.766,10,0,0,0,0,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Hesperodiaptomus shoshone,145,0.546212231,1.9445,67,32,1,0,66,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Neonate,2,0.007533962,NaN,NaN,NaN,NaN,NaN,NaN,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Nauplii,43,0.161980179,0.3413,16,NaN,NaN,NaN,0,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Rotifer,0,0,NaN,NaN,NaN,NaN,NaN,NaN,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Total cladoceran,4,0.015067924,2.2875,8,0,5,5,0,203,0.764697123
NWT,GL4,2018,3/27/18,10,2,20,80,265.4645792,20,1,Total copepod,154,0.580115059,1.35525,77,32,1,0,66,203,0.764697123
