LTER_site,local_site,year,date_collected,depth,combined_tow,net_um,water_sampled,water_sam_QA,pull number,percent sample examined ,taxon_name,num_of_taxon,taxon_dens,avg_taxon_length ,num_indiv_meas,tot_counted ,tot_density
NWT,GL4,2012,7/3/12,11,22,80,138.23,345.5751919,10,0.5,Daphnia pulicaria,107,0.309628707,1.943,100,477,1.380307416
NWT,GL4,2012,7/3/12,11,22,80,138.23,345.5751919,10,0.5,Neonate,52,0.150473764,NaN,NaN,477,1.380307416
NWT,GL4,2012,7/3/12,11,22,80,138.23,345.5751919,10,0.5,Hesperodiaptomus shoshone,285,0.824711978,2.004,200,477,1.380307416
NWT,GL4,2012,7/3/12,11,22,80,138.23,345.5751919,10,0.5,Nauplii,30,0.086811787,NaN,NaN,477,1.380307416
NWT,GL4,2012,7/3/12,11,22,80,138.23,345.5751919,10,0.5,Total cladoceran,107,0.309628707,1.943,100,477,1.380307416
NWT,GL4,2012,7/3/12,11,22,80,138.23,345.5751919,10,0.5,Total copepod,288,0.833393157,2.004,100,477,1.380307416
NWT,GL4,2012,7/12/12,9,18,80,70.686,141.3716694,5,0.25,Daphnia pulicaria,77,0.544663583,2.506,50,258,1.824976681
NWT,GL4,2012,7/12/12,9,18,80,70.686,141.3716694,5,0.25,Neonate,42,0.297089227,NaN,NaN,258,1.824976681
NWT,GL4,2012,7/12/12,9,18,80,70.686,141.3716694,5,0.25,Hesperodiaptomus shoshone,126,0.891267681,2.01,50,258,1.824976681
NWT,GL4,2012,7/12/12,9,18,80,70.686,141.3716694,5,0.25,Nauplii,13,0.091956189,NaN,NaN,258,1.824976681
NWT,GL4,2012,7/12/12,9,18,80,70.686,141.3716694,5,0.25,Total cladoceran,77,0.544663583,2.506,50,258,1.824976681
NWT,GL4,2012,7/12/12,9,18,80,70.686,141.3716694,5,0.25,Total copepod,126,0.891267681,2.01,50,258,1.824976681
NWT,GL4,2012,7/17/12,13,26,80,102.102,204.2035225,5,0.25,Daphnia pulicaria,178,0.871679381,2.384,50,377,1.84619734
NWT,GL4,2012,7/17/12,13,26,80,102.102,204.2035225,5,0.25,Neonate,38,0.186088857,NaN,NaN,377,1.84619734
NWT,GL4,2012,7/17/12,13,26,80,102.102,204.2035225,5,0.25,Hesperodiaptomus shoshone,159,0.778634952,2.046,50,377,1.84619734
NWT,GL4,2012,7/17/12,13,26,80,102.102,204.2035225,5,0.25,Nauplii,2,0.00979415,NaN,NaN,377,1.84619734
NWT,GL4,2012,7/17/12,13,26,80,102.102,204.2035225,5,0.25,Total cladoceran,178,0.871679381,2.384,50,377,1.84619734
