"LTER_site","local_site","year","date","time","pH","cond","ANC","acid","alkal","H+","NH4+","Ca++","Mg++","Na+","K+","Cl-","NO3-","SO4--","PO4---","Si","cat_sum","an_sum","chg_bal","TN","TDN","PN","DON","IN","TP","TDP","PP","DOP","IP","d18O","d18O_sdev","dDeut","dD_sdev","D_excess","Trit","T_sdev","TOC","DOC","POC","comments"
"NWT","NAVAJO",1984,"1984-06-28","DNS","8.28","8.4","25.9","NP","NP","0.01","NP","61.38","6.58","7.4","6.65","3.667","NP","28.94","NP","20.301","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1984,"1984-07-12","DNS","7.6","6.16","34.91","NP","NP","0.03","NP","39.92","4.11","8.7","5.63","3.103","NP","17.697","NP","14.81","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1984,"1984-07-26","DNS","8.39","7.25","33.93","NP","NP","0","NP","37.42","5.26","10.01","4.35","6.488","NP","17.072","NP","20.467","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1984,"1984-08-09","DNS","8.23","6.88","36.88","NP","NP","0.01","NP","36.43","5.18","9.57","4.86","2.539","NP","18.946","NP","17.638","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1984,"1984-08-23","DNS","8.3","6.72","33.93","NP","NP","0.01","NP","25.45","4.94","13.48","3.58","11.002","NP","13.325","NP","19.968","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1984,"1984-09-14","DNS","7.77","7.72","33.93","NP","NP","0.02","NP","28.44","6.42","13.05","4.5","7.617","NP","15.407","NP","28.288","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1985,"1985-06-13","DNS","5.58","8.06","33.93","NP","NP","2.63","NP","36.43","7.4","6.52","3.58","3.667","18.9632","32.896","NP","5.824","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1985,"1985-06-20","DNS","5.5","6.6","31.96","NP","NP","3.16","NP","25.45","5.76","6.09","3.07","2.821","21.061","26.858","NP","4.16","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1985,"1985-06-27","DNS","5.29","7.3","18.03","NP","NP","5.13","NP","32.44","6.58","7.4","3.07","3.667","24.4703","29.981","NP","7.821","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
"NWT","NAVAJO",1985,"1985-07-04","DNS","5.27","6.8","20.98","NP","NP","5.37","NP","30.44","5.76","6.96","2.56","3.103","22.2249","22.694","NP","3.827","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP","NP",NA
