site,local_site,year,location,depth,date,time,chl_a,pH,temp,std_conduct,conduct,DO,sat,nitrate,secchi,PAR,comments
NWT,GL4,2000,LAKE,0,7/6/00,NaN,1.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,722,NaN
NWT,GL4,2000,LAKE,3,7/6/00,NaN,1.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,226,NaN
NWT,GL4,2000,LAKE,9,7/6/00,NaN,3.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3,NaN
NWT,GL4,2000,LAKE,0,7/13/00,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,3,7/13/00,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,9,7/13/00,NaN,4.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,0,7/18/00,9:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,632,NaN
NWT,GL4,2000,LAKE,3,7/18/00,9:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,229,NaN
NWT,GL4,2000,LAKE,8.1,7/18/00,NaN,NaN,NaN,NaN,NaN,NaN,8.36,109.8,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,9,7/18/00,9:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6,NaN
NWT,GL4,2000,LAKE,9.3,7/18/00,NaN,NaN,NaN,NaN,NaN,NaN,8.36,113,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,9.5,7/18/00,NaN,NaN,NaN,NaN,NaN,NaN,8.34,113.3,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,0,7/20/00,10:00,0.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,423,NaN
NWT,GL4,2000,LAKE,3,7/20/00,10:00,1.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,109,NaN
NWT,GL4,2000,LAKE,8.1,7/20/00,NaN,NaN,NaN,NaN,NaN,NaN,7.75,101.8,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,9,7/20/00,10:00,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9,NaN
NWT,GL4,2000,LAKE,10.4,7/20/00,NaN,NaN,NaN,NaN,NaN,NaN,7.46,103.5,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,10.5,7/20/00,NaN,NaN,NaN,NaN,NaN,NaN,7.63,106.1,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,0,7/25/00,10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,645,NaN
NWT,GL4,2000,LAKE,3,7/25/00,10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,188,NaN
NWT,GL4,2000,LAKE,8.1,7/25/00,NaN,NaN,NaN,NaN,NaN,NaN,8.07,106,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,9,7/25/00,10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.6,NaN
NWT,GL4,2000,LAKE,9.8,7/25/00,NaN,NaN,NaN,NaN,NaN,NaN,8.11,111,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,10.3,7/25/00,NaN,NaN,NaN,NaN,NaN,NaN,8.12,112.4,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,10.4,7/25/00,NaN,NaN,NaN,NaN,NaN,NaN,8.11,112.5,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,0,7/27/00,9:30,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,582,NaN
NWT,GL4,2000,LAKE,3,7/27/00,9:30,4.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,169,NaN
NWT,GL4,2000,LAKE,8.5,7/27/00,NaN,NaN,NaN,NaN,NaN,NaN,8.2,108.8,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,9,7/27/00,9:30,6.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17,NaN
NWT,GL4,2000,LAKE,10.6,7/27/00,NaN,NaN,NaN,NaN,NaN,NaN,7.8,108.7,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,10.7,7/27/00,NaN,NaN,NaN,NaN,NaN,NaN,7.77,108.6,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,0,8/1/00,9:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,579,NaN
NWT,GL4,2000,LAKE,3,8/1/00,9:30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,154,NaN
NWT,GL4,2000,LAKE,9,8/1/00,9:30,NaN,NaN,NaN,NaN,NaN,9.83,132,NaN,NaN,19.5,NaN
NWT,GL4,2000,LAKE,10.9,8/1/00,NaN,NaN,NaN,NaN,NaN,NaN,8.82,123.8,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,12.3,8/1/00,NaN,NaN,NaN,NaN,NaN,NaN,8.53,123.6,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,12.3,8/1/00,NaN,NaN,NaN,NaN,NaN,NaN,8.46,122.6,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,0,8/3/00,9:30,4.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,174,NaN
NWT,GL4,2000,LAKE,3,8/3/00,9:30,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,NaN
NWT,GL4,2000,LAKE,9,8/3/00,9:30,1.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8,NaN
NWT,GL4,2000,LAKE,9.2,8/3/00,NaN,NaN,NaN,NaN,NaN,NaN,9.02,121.7,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,11.7,8/3/00,NaN,NaN,NaN,NaN,NaN,NaN,8.51,121.7,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,11.7,8/3/00,NaN,NaN,NaN,NaN,NaN,NaN,8.33,119.1,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,0,8/10/00,10:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,571,NaN
NWT,GL4,2000,LAKE,3,8/10/00,10:00,0.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,121,NaN
NWT,GL4,2000,LAKE,9,8/10/00,10:00,0.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.5,NaN
NWT,GL4,2000,LAKE,10.7,8/10/00,NaN,NaN,NaN,NaN,NaN,NaN,7.25,101.3,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,12.1,8/10/00,NaN,NaN,NaN,NaN,NaN,NaN,8.02,115.7,NaN,NaN,NaN,NaN
NWT,GL4,2000,LAKE,12.2,8/10/00,NaN,NaN,NaN,NaN,NaN,NaN,8.06,116.6,NaN,NaN,NaN,NaN
NWT,GL4,2001,LAKE,0,6/28/01,NaN,NaN,NaN,5.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2001,LAKE,3,6/28/01,NaN,NaN,NaN,4.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2001,LAKE,9,6/28/01,NaN,NaN,NaN,4.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2001,LAKE,0,7/6/01,10:00,1.66,NaN,8.5,NaN,NaN,NaN,NaN,NaN,NaN,202.5,NaN
NWT,GL4,2001,LAKE,3,7/6/01,10:00,2.6,NaN,8.3,NaN,NaN,NaN,NaN,NaN,NaN,56.3,NaN
NWT,GL4,2001,LAKE,9,7/6/01,10:00,1.18,NaN,6.7,NaN,NaN,NaN,NaN,NaN,NaN,8,NaN
NWT,GL4,2001,LAKE,0,7/12/01,10:00,1.3,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,890.5,NaN
NWT,GL4,2001,LAKE,3,7/12/01,10:00,1.66,NaN,8.5,NaN,NaN,NaN,NaN,NaN,NaN,195,NaN
NWT,GL4,2001,LAKE,9,7/12/01,10:00,3.08,NaN,7.7,NaN,NaN,NaN,NaN,NaN,NaN,30.4,NaN
NWT,GL4,2001,LAKE,0,7/19/01,9:30,NaN,NaN,9.1,NaN,NaN,NaN,NaN,NaN,NaN,767,NaN
NWT,GL4,2001,LAKE,3,7/19/01,9:30,NaN,NaN,9,NaN,NaN,NaN,NaN,NaN,NaN,162,NaN
NWT,GL4,2001,LAKE,9,7/19/01,9:30,NaN,NaN,8.1,NaN,NaN,NaN,NaN,NaN,NaN,35.5,NaN
NWT,GL4,2001,LAKE,0,7/26/01,9:00,0.47,NaN,11.2,NaN,NaN,NaN,NaN,NaN,NaN,411.5,NaN
NWT,GL4,2001,LAKE,3,7/26/01,9:00,0.24,NaN,11.1,NaN,NaN,NaN,NaN,NaN,NaN,101.5,NaN
NWT,GL4,2001,LAKE,9,7/26/01,9:00,NaN,NaN,8.4,NaN,NaN,NaN,NaN,NaN,NaN,14.7,NaN
NWT,GL4,2001,LAKE,0,8/3/01,NaN,1.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2001,LAKE,3,8/3/01,NaN,2.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NWT,GL4,2001,LAKE,9,8/3/01,NaN,2.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
